	SRR2917200_R1_filtered.fastq.gz	SRR2917201_R1_filtered.fastq.gz	SRR2917202_R1_filtered.fastq.gz	SRR2917203_R1_filtered.fastq.gz	SRR2917204_R1_filtered.fastq.gz	SRR2917205_R1_filtered.fastq.gz	SRR2917206_R1_filtered.fastq.gz	SRR2917207_R1_filtered.fastq.gz	SRR2917208_R1_filtered.fastq.gz	SRR2917209_R1_filtered.fastq.gz	SRR2917210_R1_filtered.fastq.gz	SRR2917211_R1_filtered.fastq.gz	SRR2917212_R1_filtered.fastq.gz	SRR2917213_R1_filtered.fastq.gz	SRR2917214_R1_filtered.fastq.gz	SRR2917215_R1_filtered.fastq.gz	SRR2917221_R1_filtered.fastq.gz	SRR2917239_R1_filtered.fastq.gz	SRR2917240_R1_filtered.fastq.gz	SRR2917241_R1_filtered.fastq.gz	SRR2917242_R1_filtered.fastq.gz	SRR2917243_R1_filtered.fastq.gz	SRR2917244_R1_filtered.fastq.gz	SRR2917245_R1_filtered.fastq.gz	SRR2917246_R1_filtered.fastq.gz	SRR2917247_R1_filtered.fastq.gz	SRR2917248_R1_filtered.fastq.gz	SRR2917249_R1_filtered.fastq.gz	SRR2917250_R1_filtered.fastq.gz	SRR2917251_R1_filtered.fastq.gz	SRR2917252_R1_filtered.fastq.gz	SRR2917253_R1_filtered.fastq.gz	SRR2917254_R1_filtered.fastq.gz	SRR2917255_R1_filtered.fastq.gz	SRR2917256_R1_filtered.fastq.gz	SRR2917257_R1_filtered.fastq.gz	SRR2917258_R1_filtered.fastq.gz	SRR2917259_R1_filtered.fastq.gz	SRR2917260_R1_filtered.fastq.gz	SRR2917261_R1_filtered.fastq.gz	SRR2917262_R1_filtered.fastq.gz	SRR2917263_R1_filtered.fastq.gz	SRR2917264_R1_filtered.fastq.gz	SRR2917265_R1_filtered.fastq.gz	SRR2917272_R1_filtered.fastq.gz	SRR2917274_R1_filtered.fastq.gz	SRR2917276_R1_filtered.fastq.gz
ASV_1	1734	3229	4027	698	2435	3280	2911	3914	2855	2940	7167	3358	3548	574	833	0	3110	6549	2752	6110	5449	3393	2674	4584	4750	3337	4089	2807	6838	1105	9900	13903	9356	8097	14434	6705	17545	12047	8666	12336	5547	7764	23809	18944	3108	1230	206
ASV_2	1488	3829	3440	883	3095	3428	3275	3787	3481	3167	6721	3244	3039	513	760	0	2820	6138	2795	5304	4612	3012	2287	4451	3884	2998	3540	2496	5956	985	8459	15456	10337	8087	12709	7051	16634	11489	8493	11591	5677	7482	22521	16857	3469	1164	216
ASV_3	1861	1689	10960	2009	6793	9967	9672	11725	6913	7122	1248	8713	5424	1399	18415	1013	321	523	661	325	733	514	1935	2617	1264	1873	395	272	654	162	90	223	128	30	17	0	0	0	0	0	1430	0	0	0	1699	1131	215
ASV_4	233	693	419	469	1536	1688	859	826	703	764	5867	1349	1187	347	2402	625	429	2315	792	1924	3189	1995	2213	4361	3787	4689	2494	1896	5070	513	973	1342	955	225	158	20	199	88	56	110	1236	11	285	180	115	1448	51
ASV_5	542	639	1449	81	960	855	527	707	553	361	8115	497	582	102	3957	710	1525	141	3542	81	82	39	40	221	126	147	117	164	648	1300	398	319	342	132	68	0	0	53	0	65	3440	0	0	205	1917	4031	161
ASV_6	486	102	942	42	157	269	47	95	52	66	8030	113	112	14	675	91	2656	43	2021	19	0	0	0	0	0	18	0	0	59	1062	16	32	34	0	19	0	12	0	0	0	2049	0	40	18	1899	2142	0
ASV_7	7	8	21	0	0	29	11	11	0	8	22	24	11	10	122	11	15	51	9	37	39	30	167	683	550	443	291	394	2275	0	1154	1008	704	508	418	232	621	333	254	443	14	136	860	1359	0	16	0
ASV_8	153	122	307	0	116	140	89	86	88	64	1660	120	120	34	721	549	688	75	481	0	0	0	20	65	59	79	50	77	389	268	278	474	583	232	163	89	132	108	99	135	478	45	389	624	420	680	36
ASV_9	115	53	203	41	60	174	113	152	55	57	183	107	72	51	308	18	115	282	128	164	288	160	313	574	629	589	822	609	1407	53	569	98	49	12	19	12	38	0	0	0	76	0	0	19	46	114	43
ASV_10	0	21	96	66	83	220	219	164	99	116	25	123	59	35	206	23	0	731	17	509	606	311	312	673	350	278	148	76	147	0	73	117	77	43	50	39	74	60	22	38	0	0	39	19	0	0	0
