description,sample_title*,collection_date,env_biome,env_feature,geo_loc_name,lat_lon,env_material,organism,Depth (m),Conductivity (µS/cm),Timepoint (in days relative to startup),Reactor cycle,Reactor phase,temp (°C),pH,Hill diversity: D2,Hill diversity: D1,Hill diversity: D0,Cell density (cells/mL),NSTI predicted from PICRUSt
Cooling water,1,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.17,-8.20,1,Control,17.41,4.69,5.832212235,8.12795153,40,962613.3333,0.117857667
Cooling water,2,10-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.15,-7.79,1,Control,16.94,4.87,4.208637097,8.127372239,53,970093.3333,0.097803156
Cooling water,4,12-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.54,-5.79,1,Control,17.95,4.80,4.752934686,7.241668214,45,1022280,0.111963067
Cooling water,5,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.39,-4.20,1,Control,18.18,4.82,5.265753743,8.059374955,39,1146120,0.116187972
Cooling water,6,14-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-3.79,1,Control,22.57,4.83,3.691365256,5.749543993,31,1188706.667,0.096624156
Cooling water,7,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.35,-1.20,1,Control,25.05,4.83,3.980146779,5.890144487,31,1158306.667,0.101921737
Cooling water,8,17-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.31,-0.79,1,Control,24.45,4.86,6.327216443,11.08965871,61,1214026.667,0.144224199
Cooling water,9,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,1.30,0.00,1,Startup,24.43,4.86,7.346909036,14.59510319,54,1287266.667,0.11565084
Cooling water,10,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,2.88,0.08,1,Startup,29.41,4.62,4.250001561,7.539307806,52,1222920,0.116562558
Cooling water,11,18-Nov-14,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,Belgium: Mol,51.22 N 5.09 E,water,freshwater metagenome,-0.3,3.67,0.17,1,Startup,30.44,4.51,2.835736635,4.724568921,38,1539813.333,0.09142799
