Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,conduc,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Depth,env_biome,env_feature,env_material,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,PH,Platform,Reactor_cycle,Reactor_phase,ReleaseDate,create_date,version,Sample Name,seq_methods,SRA Study,temp,timepoint,Description,organism,sample_title
SRR2917211,AMPLICON,564,12734630,PRJNA302180,SAMN04267738,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8440327,MOTHUR,2014-11-22,3.78,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432419,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_20_R1.fastq.20,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.47,ILLUMINA,1,Operation,2015-11-18T00:00:00Z,2015-11-13T15:39:00Z,1,20,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,28.11,3.80,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917212,AMPLICON,564,10597448,PRJNA302180,SAMN04267739,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7060857,MOTHUR,2014-11-22,3.83,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432420,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_21_R1.fastq.21,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.48,ILLUMINA,1,Operation,2015-11-18T00:00:00Z,2015-11-13T15:39:00Z,1,21,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.97,4.22,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917223,AMPLICON,562,11704300,PRJNA302180,SAMN04267749,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8047535,MOTHUR,2014-12-06,4.47,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432431,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_31_R1.fastq.31,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.38,ILLUMINA,1,Operation,2015-11-18T00:00:00Z,2015-11-13T15:40:00Z,1,31,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,26.05,17.80,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917224,AMPLICON,562,19796050,PRJNA302180,SAMN04267750,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",13558050,MOTHUR,2014-12-07,3.65,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432432,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_32_R1.fastq.32,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.48,ILLUMINA,1,Operation,2015-11-18T00:00:00Z,2015-11-13T15:40:00Z,1,32,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,28.06,18.80,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917227,AMPLICON,560,13552646,PRJNA302180,SAMN04267753,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",9202432,MOTHUR,2014-12-13,1.38,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432435,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_37_R1.fastq.37,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.81,ILLUMINA,1,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:41:00Z,1,37,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,17.46,24.92,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917228,AMPLICON,560,12523573,PRJNA302180,SAMN04267754,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8568090,MOTHUR,2014-12-14,1.34,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432436,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_38_R1.fastq.38,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.77,ILLUMINA,1,Shutdown,2015-11-18T00:00:00Z,2015-11-13T15:41:00Z,1,38,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,17.41,25.92,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917229,AMPLICON,560,14336179,PRJNA302180,SAMN04267755,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",9572340,MOTHUR,2015-01-20,1.34,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432437,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_39_R1.fastq.39,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.76,ILLUMINA,2,Control,2015-11-18T00:00:00Z,2015-11-13T15:42:00Z,1,39,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,15.34,-6.58,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917233,AMPLICON,560,11602810,PRJNA302180,SAMN04267759,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",7865649,MOTHUR,2015-01-27,1.97,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432441,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_43_R1.fastq.43,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.82,ILLUMINA,2,Startup,2015-11-18T00:00:00Z,2015-11-13T15:46:00Z,1,43,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,19.72,0.00,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917234,AMPLICON,560,12569710,PRJNA302180,SAMN04267760,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",8500745,MOTHUR,2015-01-27,3.12,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432442,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_44_R1.fastq.44,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.68,ILLUMINA,2,Startup,2015-11-18T00:00:00Z,2015-11-13T15:47:00Z,1,44,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,23.74,0.08,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
SRR2917239,AMPLICON,566,13193065,PRJNA302180,SAMN04267765,"MIMARKS.survey,MIGS/MIMS/MIMARKS.water",9028725,MOTHUR,2015-01-27,4.58,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",-0.3,Oligotrophic freshwater,Secondary Cooling water system of nuclear reactor,water,SRX1432447,Belgium,Europe,Belgium: Mol,Illumina MiSeq,51.22 N 5.09 E,341F_785R_49_R1.fastq.49,PAIRED,PCR,METAGENOMIC,freshwater metagenome,4.46,ILLUMINA,2,Startup,2015-11-18T00:00:00Z,2015-11-13T15:42:00Z,1,49,"Standard LGC library preparation for amplification of V3 - V4 region (primer choice based on Klindworth et al. (2013)) using v3 chemistry, 300 bp overlapping paired reads. Performed at LGC-genomics.",SRP066190,25.68,0.50,Cooling water,freshwater metagenome,Microbiome times series survey of oligotrophic cooling water
