Sample ID,Bacterial abundance
T141014_S20,2.43E+07
T142023_S23,1.30E+07
T142061_S25,2.73E+07
T142062_S26,5.76E+07
T142063_S27,3.76E+07
T142064_S28,4.93E+07
T143012_S30,5.46E+07
T143014_S32,1.76E+07
T143034_S36,1.11E+07
T143051_S37,5.34E+07
T143052_S38,1.10E+07
T143054_S40,1.24E+07
T151012_S42,3.55E+07
T151014_S44,4.07E+07
T152022_S46,7.32E+07
T152024_S48,2.69E+07
T152062_S50,1.74E+08
T152064_S52,5.69E+07
T153012_S54,3.58E+07
T153014_S88,1.29E+07
T153032_S57,3.19E+07
T153052_S61,4.86E+07
T153053_S62,9.29E+07
T153054_S63,3.25E+07
T161012_S65,3.58E+08
T161014_S67,2.45E+08
T162022_S69,4.91E+08
T162024_S71,4.53E+07
T162062_S73,1.39E+08
T162064_S75,2.67E+08
T163012_S77,1.62E+08
T163014_S79,1.02E+08
T163032_S81,1.32E+08
T163034_S83,3.50E+08
T163052_S85,2.50E+08
T163054_S87,1.53E+08
